section,item_number,item_text,item_full_text,Study 1,Study 2,Study 3,Study 4,Study 5,Study 6,Study 7,Study 8,Study 9,Study 10,Study 11,Study 12,Study 13,Study 14,Study 15
Methods,9,Bias,Describe any efforts to address potential sources of bias,Not applicable,Unclear,Yes,Unclear,Yes,Not applicable,Not applicable,No,No,Unclear,No,Unclear,No,Yes,Unclear
Methods,10,Study size,Explain how the study size was arrived at,No,Yes,Not applicable,No,No,No,No,Unclear,Unclear,Unclear,Not applicable,Not applicable,Unclear,Not applicable,No
Methods,11,Quantitative variables,"Explain how quantitative variables were handled in the analyses. If applicable, describe which groupings were chosen and why",No,Yes,Unclear,Yes,Not applicable,Unclear,Not applicable,Yes,No,Not applicable,Yes,Not applicable,Unclear,Unclear,Unclear
Methods,12a,Statistical methods,"Describe all statistical methods, including those used to control for confounding",Unclear,Unclear,Yes,Yes,No,Not applicable,Not applicable,No,Unclear,Yes,Not applicable,Unclear,Not applicable,Not applicable,Not applicable
Methods,12b,Statistical methods,Describe any methods used to examine subgroups and interactions,Not applicable,Yes,No,Yes,Yes,Yes,No,No,Unclear,Not applicable,Yes,Unclear,No,No,No
Methods,12c,Statistical methods,Explain how missing data were addressed,Yes,Unclear,Unclear,Not applicable,Unclear,Unclear,Yes,Yes,Yes,Unclear,Unclear,Unclear,Unclear,Not applicable,Yes
Methods,12d,Statistical methods,"If applicable, explain how loss to follow-up was addressed",Yes,Unclear,Yes,Not applicable,Not applicable,Unclear,Yes,Yes,Yes,Yes,Not applicable,Unclear,Not applicable,Yes,Yes
Methods,12e,Statistical methods,Describe any sensitivity analyses,Unclear,Not applicable,Not applicable,No,Unclear,Unclear,Unclear,No,Unclear,Yes,Yes,Not applicable,No,Unclear,No
Results,13a,Participants,"Report numbers of individuals at each stage of study—eg numbers potentially eligible, examined for eligibility, confirmed eligible, included in the study, completing follow-up, and analysed",No,Unclear,Yes,Not applicable,Not applicable,Not applicable,No,No,Not applicable,No,Unclear,Not applicable,No,No,No
Results,13b,Participants,Give reasons for non-participation at each stage,Not applicable,No,No,Not applicable,Not applicable,Yes,Not applicable,Yes,Yes,No,Yes,Yes,No,Unclear,Unclear
Results,13c,Participants,Consider use of a flow diagram,Not applicable,Yes,No,No,Unclear,No,Yes,Yes,No,Unclear,Yes,Yes,Unclear,Yes,No
Results,14a,Descriptive data,"Give characteristics of study participants (eg demographic, clinical, social) and information on exposures and potential confounders",Not applicable,Unclear,Not applicable,Unclear,Not applicable,Yes,Not applicable,Unclear,Not applicable,Yes,No,No,No,Unclear,Not applicable
Results,14b,Descriptive data,Indicate number of participants with missing data for each variable of interest,Yes,No,Yes,No,Unclear,Yes,Not applicable,Not applicable,Not applicable,No,Yes,Not applicable,Not applicable,Yes,Unclear
Results,14c,Descriptive data,"Summarise follow-up time (eg, average and total amount)",No,Unclear,Yes,Yes,No,Not applicable,Not applicable,No,Yes,Not applicable,Yes,Yes,Yes,Unclear,Not applicable
Results,15,Outcome data,Report numbers of outcome events or summary measures over time,Yes,Not applicable,Unclear,Unclear,Not applicable,Yes,Unclear,Unclear,No,Unclear,Yes,No,Not applicable,Not applicable,Yes
Results,16a,Main results,"Give unadjusted estimates and, if applicable, confounder-adjusted estimates and their precision (eg, 95% confidence interval). Make clear which confounders were adjusted for and why they were included",Yes,Not applicable,Unclear,Not applicable,Unclear,No,No,Not applicable,Unclear,Yes,Not applicable,No,Not applicable,Unclear,Not applicable
Results,16b,Main results,Report category boundaries when continuous variables were categorized,No,Unclear,Not applicable,No,Yes,Unclear,Yes,Yes,Not applicable,Not applicable,Not applicable,Unclear,No,Unclear,Not applicable
Results,16c,Main results,"If relevant, consider translating estimates of relative risk into absolute risk for a meaningful time period",Unclear,Yes,No,Not applicable,Unclear,Unclear,Not applicable,Yes,Not applicable,Unclear,No,Unclear,Not applicable,No,Unclear
Results,17,Other analyses,"Report other analyses done—eg analyses of subgroups and interactions, and sensitivity analyses",No,Yes,No,Unclear,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Not applicable,Not applicable
Discussion,18,Key results,Summarise key results with reference to study objectives,No,Unclear,Unclear,Not applicable,Yes,Not applicable,Unclear,Yes,Unclear,Unclear,Yes,Not applicable,Not applicable,Unclear,Not applicable
Discussion,19,Limitations,"Discuss limitations of the study, taking into account sources of potential bias or imprecision. Discuss both direction and magnitude of any potential bias",Unclear,Not applicable,Unclear,No,Yes,Yes,Yes,No,Yes,Unclear,No,Yes,Not applicable,Unclear,Not applicable
Discussion,20,Interpretation,"Give a cautious overall interpretation of results considering objectives, limitations, multiplicity of analyses, results from similar studies, and other relevant evidence",Unclear,No,Yes,Yes,Not applicable,Not applicable,Yes,Yes,Not applicable,Not applicable,No,No,Yes,Not applicable,Yes
Discussion,21,Generalisability,Discuss the generalisability (external validity) of the study results,Yes,Unclear,Yes,Unclear,Unclear,Not applicable,No,No,Unclear,Yes,Not applicable,Unclear,No,Not applicable,No
Other information,22,Funding,"Give the source of funding and the role of the funders for the present study and, if applicable, for the original study on which the present article is based",No,Unclear,Unclear,Unclear,Not applicable,Yes,Not applicable,No,Not applicable,No,No,No,Not applicable,No,Not applicable
